,basemodel_ViT_bs64+augm+iNat,resnet50_bs16+aug+iNat,googlenet_bs128+aug
numididae,1.0,1.0,0.8571428571428571
corvus albus,0.975,0.9125,0.9554140127388535
pteroclidae,0.9595959595959594,0.9489795918367346,0.9223300970873787
papio anubis,0.970873786407767,0.9215686274509804,0.9199999999999999
eupodotis rueppellii,1.0,0.9333333333333333,0.8750000000000001
cn-francolins,1.0,0.896551724137931,0.9032258064516129
procavia capensis,1.0,0.8571428571428571,0.9375
torgos tracheliotos,0.97,0.9081632653061226,0.88
loxodanta africana,0.9644670050761421,0.8729281767955802,0.8910891089108911
neotis ludwigii,0.9607843137254902,0.8932038834951457,0.8717948717948717
oryx gazella,0.9333333333333333,0.8958333333333334,0.8877005347593583
equus zebra hartmannae,0.9547738693467336,0.8865979381443299,0.8704663212435233
cn-raptors,0.9272727272727272,0.865979381443299,0.912621359223301
giraffa camelopardalis,0.9014084507042253,0.9014084507042253,0.892156862745098
struthio camelus,0.922279792746114,0.883248730964467,0.8820512820512821
oreotragus oreotragus,0.888888888888889,0.9090909090909091,0.8333333333333333
columbidae,0.923076923076923,0.8571428571428571,0.8
antidorcas marsupialis,0.9170731707317075,0.8426395939086294,0.8080808080808082
acinonyx jubatus,0.8928571428571429,0.8089887640449439,0.853932584269663
diceros bicornis,0.9186602870813397,0.7837837837837839,0.8241206030150754
mellivora capensis,1.0,0.7391304347826088,0.7234042553191489
tragelaphus strepsiceros,0.9090909090909091,0.7500000000000001,0.7692307692307692
hystrix africaeaustralis,0.9308176100628931,0.6929133858267716,0.7916666666666667
lepus capensis,0.9523809523809523,0.6956521739130435,0.7200000000000001
raphiceros campestris,0.878048780487805,0.7115384615384615,0.7692307692307693
corvus capensis,1.0,0.7142857142857143,0.6153846153846154
panthera leo,0.861244019138756,0.7136150234741783,0.7216494845360824
hyaena brunnea,0.8857142857142858,0.6822429906542056,0.7142857142857142
panthera pardus,0.8275862068965517,0.6777777777777777,0.717948717948718
equus asinus,0.9333333333333333,0.6,0.6250000000000001
crocuta crocuta,0.8181818181818182,0.618181818181818,0.6893203883495145
cn-owls,0.7142857142857143,0.4545454545454545,0.7777777777777778
canis mesomelas,0.7783783783783784,0.5777777777777778,0.5428571428571428
vulpes chama,0.625,0.5,0.7142857142857143
pronolagus randensis,0.7692307692307693,0.39999999999999997,0.4444444444444444
otocyon megalotis,0.7499999999999999,0.24242424242424243,0.6
