,basemodel_ViT_bs64,basemodel_googlenet_bs128,basemodel_resnet50_bs16
acinonyx jubatus,-0.011097659402743987,-0.05214476379663524,-0.018171729782216595
antidorcas marsupialis,-0.031380437515715176,0.06661739344666184,0.008516371159814295
canis mesomelas,-0.013288288288288319,-0.0600136705399863,0.03456790123456799
cn-francolins,0.1428571428571429,0.08841099163679811,0.08173690932311628
cn-owls,-0.20879120879120872,-0.0793650793650793,-0.09090909090909094
cn-raptors,0.06727272727272726,0.025828906393112305,0.07477059023450783
columbidae,0.10826210826210825,0.16000000000000003,0.19047619047619047
corvus albus,0.01902515723270437,0.036159354353760276,0.023611111111111027
corvus capensis,0.2500000000000001,-0.13461538461538447,0.1428571428571428
crocuta crocuta,0.024367385192127444,-0.008115509086382922,0.015909090909090873
diceros bicornis,0.02766502641783264,0.02986222980933384,0.03724000498194058
equus asinus,0.26666666666666683,0.4431818181818183,0.0736842105263158
equus zebra hartmannae,0.03770069861502612,-0.010362694300518172,0.07634152788791948
eupodotis rueppellii,0.07692307692307698,0.1250000000000001,0.16410256410256419
giraffa camelopardalis,0.09307511737089191,0.006584723441615314,-0.0024377031419285933
hyaena brunnea,0.01940412528647817,-0.017421602787456414,0.16315902118855663
hystrix africaeaustralis,0.022842149940193734,-0.03950216450216448,0.09291338582677167
lepus capensis,0.25672877846790887,0.053333333333333566,0.4099378881987577
loxodanta africana,-0.004920750025898646,0.017302701143900756,0.01271312303213945
mellivora capensis,0.11111111111111116,-0.08740655549166199,0.03324808184143224
neotis ludwigii,0.028745478774033884,0.03418803418803407,-0.04484921384998708
numididae,0.16666666666666674,-0.01242236024844734,0.08333333333333337
oreotragus oreotragus,0.16161616161616177,0.08333333333333337,0.15909090909090917
oryx gazella,0.005498281786941561,0.027596907816353156,0.005833333333333357
otocyon megalotis,0.17857142857142838,0.2666666666666666,0.24242424242424243
panthera leo,-0.04031038500632178,-0.039220080681309,0.09642752347417838
panthera pardus,-0.03317328677433429,0.0018993352326686086,-0.04590643274853812
papio anubis,0.0,-0.03145631067961174,-0.019607843137254832
procavia capensis,0.030303030303030276,0.13750000000000007,0.3116883116883117
pronolagus randensis,-0.08183306055646478,-0.319191919191919,-0.16410256410256424
pteroclidae,0.00861556743909675,-0.004499171205304187,0.014969439552470765
raphiceros campestris,-0.028927963698241466,-0.02146690518783534,0.18846153846153846
struthio camelus,0.009459279925601138,0.0,-0.010152284263959421
torgos tracheliotos,0.056538461538461426,-0.017560975609756113,-0.001836734693877462
tragelaphus strepsiceros,0.009090909090909038,-0.03076923076923077,-0.1071428571428571
vulpes chama,-0.20833333333333337,0.04761904761904767,0.0
